SKU,Product Description,Range,Trade Price,Product Page URL,Datasheet URL,Product Image URL
KL50,Zip-Clip Rize KL50 15kg SWL,RIZE,2.05,,,
R200G,200 Mtr G wire reel in dispenser box,RIZE,48.28,,,
KL100,Zip-Clip Rize KL100 100kg SWL,RIZE,2.33,,,
R100S,100 Mtrs 50kg SWL S Wire Compatible With KL100,RIZE,29.61,,,
R100S/5,5 x 100 Mtrs 50kg SWL S Wire Compatible With KL100,RIZE,148.05,,,
R200S,200 Mtrs 50kg SWL S Wire Compatible With KL100,RIZE,59.25,,,
R500S,500 Mtrs 50kg SWL S Wire Compatible with KL100,RIZE,148.12,,,
KL150,Zip-Clip Rize KL150 120kg SWL,RIZE,3.38,,,
R100Y,100 Mtrs 120kg SWL Y Wire Compatible With KL150,RIZE,47.36,,,
KL200,Zip-Clip Rize KL200 230kg SWL,RIZE,6.98,,,
R100P,100 Mtrs 230kg SWL P Wire Compatible With KL200,RIZE,69.99,,,
KL600,Rize KL600 500kg SWL,RIZE,11.14,,,
R100N,100 mtr N wire reel,RIZE,150.51,,,
KL100LOK,Rize KL100 50kg SWL Lockable,RIZE,4.4,,,
KL150LOK,Rize KL150 120kg SWL Lockable,RIZE,5.45,,,
KL200LOK,Rize KL200 230kg SWL Lockable,RIZE,9.05,,,
KL600LOK,Rize KL600 500kg SWL Lockable,RIZE,13.4,,,
ZLG1,1 Mtr eye suspension system,ZIP-LOCK,4.09,,,
ZLG2,2 Mtr eye suspension system,ZIP-LOCK,4.35,,,
ZLG3,3 Mtr eye suspension system,ZIP-LOCK,4.62,,,
ZLG4,4 Mtr eye suspension system,ZIP-LOCK,4.87,,,
ZLG5,5 Mtr eye suspension system,ZIP-LOCK,5.62,,,
ZLG10,10 Mtr eye suspension system,ZIP-LOCK,8.29,,,
ZLS1,1 Mtr eye suspension system,ZIP-LOCK,4.97,,,
ZLS2,2 Mtr eye suspension system,ZIP-LOCK,5.28,,,
ZLS3,3 Mtr eye suspension system,ZIP-LOCK,5.6,,,
ZLS4,4 Mtr eye suspension system,ZIP-LOCK,5.93,,,
ZLS5,5 Mtr eye suspension system,ZIP-LOCK,6.82,,,
ZLS10,10 Mtr eye suspension system,ZIP-LOCK,10.08,,,
ZLY1,1 Mtr eye suspension system,ZIP-LOCK,6.16,,,
ZLY2,2 Mtr eye suspension system,ZIP-LOCK,6.64,,,
ZLY3,3 Mtr eye suspension system,ZIP-LOCK,7.14,,,
ZLY4,4 Mtr eye suspension system,ZIP-LOCK,7.63,,,
ZLY5,5 Mtr eye suspension system,ZIP-LOCK,8.89,,,
ZLY10,10 Mtr eye suspension system,ZIP-LOCK,13.63,,,
PLEK1G,1 Mtr standard loop suspension system,LOOP-IT,4.09,,,
PLEK2G,2 Mtr standard loop suspension system,LOOP-IT,4.35,,,
PLEK3G,3 Mtr standard loop suspension system,LOOP-IT,4.62,,,
PLEK4G,4 Mtr standard loop suspension system,LOOP-IT,4.87,,,
PLEK5G,5 Mtr standard loop suspension system,LOOP-IT,5.62,,,
PLEK10G,10 Mtr standard loop suspension system,LOOP-IT,8.29,,,
PLEK1S,1 Mtr standard loop suspension system,LOOP-IT,4.97,,,
PLEK2S,2 Mtr standard loop suspension system,LOOP-IT,5.28,,,
PLEK3S,3 Mtr standard loop suspension system,LOOP-IT,5.6,,,
PLEK4S,4 Mtr standard loop suspension system,LOOP-IT,5.93,,,
PLEK5S,5 Mtr standard loop suspension system,LOOP-IT,6.82,,,
PLEK10S,10 Mtr standard loop suspension system,LOOP-IT,10.08,,,
PLEK1Y,1 Mtr standard loop suspension system,LOOP-IT,6.16,,,
PLEK2Y,2 Mtr standard loop suspension system,LOOP-IT,6.64,,,
PLEK3Y,3 Mtr standard loop suspension system,LOOP-IT,7.14,,,
PLEK4Y,4 Mtr standard loop suspension system,LOOP-IT,7.63,,,
PLEK5Y,5 Mtr standard loop suspension system,LOOP-IT,8.89,,,
PLEK10Y,10 Mtr standard loop suspension system,LOOP-IT,13.63,,,
PLEK1P,1 Mtr standard loop suspension system,LOOP-IT,11.14,,,
PLEK2P,2 Mtr standard loop suspension system,LOOP-IT,12.28,,,
PLEK3P,3 Mtr standard loop suspension system,LOOP-IT,13.42,,,
PLEK4P,4 Mtr standard loop suspension system,LOOP-IT,14.55,,,
PLEK5P,5 Mtr standard loop suspension system,LOOP-IT,17.17,,,
PLEK10P,10 Mtr standard loop suspension system,LOOP-IT,27.44,,,
PLEK1N,1 Mtr standard loop suspension system,LOOP-IT,15.72,,,
PLEK2N,2 Mtr standard loop suspension system,LOOP-IT,17.29,,,
PLEK3N,3 Mtr standard loop suspension system,LOOP-IT,18.88,,,
PLEK4N,4 Mtr standard loop suspension system,LOOP-IT,20.46,,,
PLEK5N,5 Mtr standard loop suspension system,LOOP-IT,24.13,,,
PLEK10N,10 Mtr standard loop suspension system,LOOP-IT,38.53,,,
CLG1,1 Mtr concrete suspension system,CON-LOCK,4.26,,,
CLG2,2 Mtr concrete suspension system,CON-LOCK,4.54,,,
CLG3,3 Mtr concrete suspension system,CON-LOCK,4.79,,,
CLG4,4 Mtr concrete suspension system,CON-LOCK,5.05,,,
CLG5,5 Mtr concrete suspension system,CON-LOCK,5.81,,,
CLG10,10 Mtr concrete suspension system,CON-LOCK,8.51,,,
CLS1,1 Mtr concrete suspension system,CON-LOCK,5.22,,,
CLS2,2 Mtr concrete suspension system,CON-LOCK,5.55,,,
CLS3,3 Mtr concrete suspension system,CON-LOCK,5.86,,,
CLS4,4 Mtr concrete suspension system,CON-LOCK,6.18,,,
CLS5,5 Mtr concrete suspension system,CON-LOCK,7.12,,,
CLS10,10 Mtr concrete suspension system,CON-LOCK,10.41,,,
CLY1,1 Mtr concrete suspension system,CON-LOCK,5.99,,,
CLY2,2 Mtr concrete suspension system,CON-LOCK,6.47,,,
CLY3,3 Mtr concrete suspension system,CON-LOCK,6.97,,,
CLY4,4 Mtr concrete suspension system,CON-LOCK,7.46,,,
CLY5,5 Mtr concrete suspension system,CON-LOCK,8.71,,,
CLY10,10 Mtr concrete suspension system,CON-LOCK,13.4,,,
PLCAK1G,1 Mtr standard concrete suspension system,ANCHOR-IT,4.09,,,
PLCAK2G,2 Mtr standard concrete suspension system,ANCHOR-IT,4.35,,,
PLCAK3G,3 Mtr standard concrete suspension system,ANCHOR-IT,4.62,,,
PLCAK4G,4 Mtr standard concrete suspension system,ANCHOR-IT,4.87,,,
PLCAK5G,5 Mtr standard concrete suspension system,ANCHOR-IT,5.62,,,
PLCAK10G,10 Mtr standard concrete suspension system,ANCHOR-IT,8.29,,,
PLCAK1S,1 Mtr standard concrete suspension system,ANCHOR-IT,4.97,,,
PLCAK2S,2 Mtr standard concrete suspension system,ANCHOR-IT,5.28,,,
PLCAK3S,3 Mtr standard concrete suspension system,ANCHOR-IT,5.6,,,
PLCAK4S,4 Mtr standard concrete suspension system,ANCHOR-IT,5.93,,,
PLCAK5S,5 Mtr standard concrete suspension system,ANCHOR-IT,6.82,,,
PLCAK10S,10 Mtr standard concrete suspension system,ANCHOR-IT,10.08,,,
PLTRK1G/M6X20,1 Mtr standard M6x20 threaded suspension system,THREAD-IT,4.24,,,
PLTRK2G/M6X20,2 Mtr standard M6x20 threaded suspension system,THREAD-IT,4.51,,,
PLTRK3G/M6X20,3 Mtr standard M6x20 threaded suspension system,THREAD-IT,4.76,,,
PLTRK4G/M6X20,4 Mtr standard M6x20 threaded suspension system,THREAD-IT,5.03,,,
PLTRK5G/M6X20,5 Mtr standard M6x20 threaded suspension system,THREAD-IT,5.78,,,
PLTRK10G/M6X20,10 Mtr standard M6x20 threaded suspension system,THREAD-IT,8.47,,,
PLTRK1S/M6X45,1 Mtr standard M6x45 threaded suspension system,THREAD-IT,5.37,,,
PLTRK2S/M6X45,2 Mtr standard M6x45 threaded suspension system,THREAD-IT,5.69,,,
PLTRK3S/M6X45,3 Mtr standard M6x45 threaded suspension system,THREAD-IT,6.01,,,
PLTRK4S/M6X45,4 Mtr standard M6x45 threaded suspension system,THREAD-IT,6.33,,,
PLTRK5S/M6X45,5 Mtr standard M6x45 threaded suspension system,THREAD-IT,7.27,,,
PLTRK10S/M6X45,10 Mtr standard M6x45 threaded suspension system,THREAD-IT,10.61,,,
PLTRK1S/M8x25,1 Mtr standard M8x25 threaded suspension system,THREAD-IT,5.22,,,
PLTRK2S/M8x25,2 Mtr standard M8x25 threaded suspension system,THREAD-IT,5.55,,,
PLTRK3S/M8x25,3 Mtr standard M8x25 threaded suspension system,THREAD-IT,5.86,,,
PLTRK4S/M8x25,4 Mtr standard M8x25 threaded suspension system,THREAD-IT,6.18,,,
PLTRK5S/M8x25,5 Mtr standard M8x25 threaded suspension system,THREAD-IT,7.12,,,
PLTRK10S/M8x25,10 Mtr standard M8x25 threaded suspension system,THREAD-IT,10.41,,,
PLTRK1Y/M8X25,1 Mtr standard M8x25 threaded suspension system,THREAD-IT,5.99,,,
PLTRK2Y/M8X25,2 Mtr standard M8x25 threaded suspension system,THREAD-IT,6.47,,,
PLTRK3Y/M8X25,3 Mtr standard M8x25 threaded suspension system,THREAD-IT,6.97,,,
PLTRK4Y/M8X25,4 Mtr standard M8x25 threaded suspension system,THREAD-IT,7.46,,,
PLTRK5Y/M8X25,5 Mtr standard M8x25 threaded suspension system,THREAD-IT,8.71,,,
PLTRK10Y/M8X25,10 Mtr standard M8x25 threaded suspension system,THREAD-IT,13.4,,,
DLG1,1 Mtr decking suspension system,DEC-LOCK,5.42,,,
DLG2,2 Mtr decking suspension system,DEC-LOCK,5.67,,,
DLG3,3 Mtr decking suspension system,DEC-LOCK,5.95,,,
DLG4,4 Mtr decking suspension system,DEC-LOCK,6.2,,,
DLG5,5 Mtr decking suspension system,DEC-LOCK,7.07,,,
DLG10,10 Mtr decking suspension system,DEC-LOCK,9.99,,,
DLS1,1 Mtr decking suspension system,DEC-LOCK,6.6,,,
DLS2,2 Mtr decking suspension system,DEC-LOCK,6.93,,,
DLS3,3 Mtr decking suspension system,DEC-LOCK,7.24,,,
DLS4,4 Mtr decking suspension system,DEC-LOCK,7.56,,,
DLS5,5 Mtr decking suspension system,DEC-LOCK,8.63,,,
DLS10,10 Mtr decking suspension system,DEC-LOCK,12.19,,,
VLG1,1 Mtr standard 1-5mm decking suspension system,KNOCK-IT,5.31,,,
VLG2,2 Mtr standard 1-5mm decking suspension system,KNOCK-IT,5.58,,,
VLG3,3 Mtr standard 1-5mm decking suspension system,KNOCK-IT,5.83,,,
VLG4,4 Mtr standard 1-5mm decking suspension system,KNOCK-IT,6.09,,,
VLG5,5 Mtr standard 1-5mm decking suspension system,KNOCK-IT,6.97,,,
VLG10,10 Mtr standard 1-5mm decking suspension system,KNOCK-IT,9.85,,,
VLS1,1 Mtr standard 1-5mm decking suspension system,KNOCK-IT,5.37,,,
VLS2,2 Mtr standard 1-5mm decking suspension system,KNOCK-IT,5.69,,,
VLS3,3 Mtr standard 1-5mm decking suspension system,KNOCK-IT,6.01,,,
VLS4,4 Mtr standard 1-5mm decking suspension system,KNOCK-IT,6.33,,,
VLS5,5 Mtr standard 1-5mm decking suspension system,KNOCK-IT,7.27,,,
VLS10,10 Mtr standard 1-5mm decking suspension system,KNOCK-IT,10.61,,,
VLG1/2,1 Mtr standard 5-7mm decking suspension system,KNOCK-IT,5.46,,,
VLG2/2,2 Mtr standard 5-7mm decking suspension system,KNOCK-IT,5.72,,,
VLG3/2,3 Mtr standard 5-7mm decking suspension system,KNOCK-IT,5.99,,,
VLG4/2,4 Mtr standard 5-7mm decking suspension system,KNOCK-IT,6.24,,,
VLG5/2,5 Mtr standard 5-7mm decking suspension system,KNOCK-IT,7.12,,,
VLG10/2,10 Mtr standard 5-7mm decking suspension system,KNOCK-IT,10.05,,,
VLS1/2,1 Mtr standard 5-7mm decking suspension system,KNOCK-IT,5.52,,,
VLS2/2,2 Mtr standard 5-7mm decking suspension system,KNOCK-IT,5.83,,,
VLS3/2,3 Mtr standard 5-7mm decking suspension system,KNOCK-IT,6.16,,,
VLS4/2,4 Mtr standard 5-7mm decking suspension system,KNOCK-IT,6.47,,,
VLS5/2,5 Mtr standard 5-7mm decking suspension system,KNOCK-IT,7.43,,,
